Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
n2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,8330435694,2831.5,6761,0.581201005768377,678428015,8330435694,816982610,22533,10387456,2,100.9
n2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,25705994498,2831.5,14775,0.808358714043993,678428015,25705994498,1105512493,32436,10620928,2,100.9
n2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19100037384,2831.5,11093,0.744748940773461,678428015,19100037384,990487124,28317,10334208,2,91.7
n2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19075314980,2831.5,11154,0.746144880760265,678428015,19075314980,997278814,28231,10493952,2,92.3
n2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,14754556884,2831.5,11077,0.744380247359393,678428015,14754556884,938498266,26066,10485760,2,91.7
n2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19132169434,2831.5,9940,0.715140845070423,678428015,19132169434,993282379,28576,10625024,2,101
n2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,8330435694,4305.30247653408,6761,0.363215134368573,678428015,8330435694,816982610,22533,10387456,2,100.9
n2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,25705994498,4305.30247653408,14775,0.708608969439318,678428015,25705994498,1105512493,32436,10620928,2,100.9
n2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19100037384,4305.30247653408,11093,0.611890158069586,678428015,19100037384,990487124,28317,10334208,2,91.7
n2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19075314980,4305.30247653408,11154,0.614012688135729,678428015,19075314980,997278814,28231,10493952,2,92.3
n2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,14754556884,4305.30247653408,11077,0.611329558857626,678428015,14754556884,938498266,26066,10485760,2,91.7
n2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19132169434,4305.30247653408,9940,0.566870978215888,678428015,19132169434,993282379,28576,10625024,2,101
n2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,8330435694,2831.5,6761,0.581201005768377,678428015,8330435694,816982610,22533,10387456,2,100.9
n2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,25705994498,2831.5,14775,0.808358714043993,678428015,25705994498,1105512493,32436,10620928,2,100.9
n2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19100037384,2831.5,11093,0.744748940773461,678428015,19100037384,990487124,28317,10334208,2,91.7
n2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19075314980,2831.5,11154,0.746144880760265,678428015,19075314980,997278814,28231,10493952,2,92.3
n2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,14754556884,2831.5,11077,0.744380247359393,678428015,14754556884,938498266,26066,10485760,2,91.7
n2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19132169434,2831.5,9940,0.715140845070423,678428015,19132169434,993282379,28576,10625024,2,101
